SN,Source,Date,Open,High,Low,Adjusted_Close,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index,Unemployment_Rate,Federal_Funds_Rate
1485,amazon,2020-11-23,3116.699951,3139.75,3065.459961,3098.389893,21589.849,18845.337,6.7,0.09
1486,amazon,2020-11-24,3100.5,3134.25,3086.26001,3118.060059,21589.849,18845.337,6.7,0.09
1487,amazon,2020-11-25,3141.870117,3198.0,3140.26001,3185.070068,21589.849,18845.337,6.7,0.09
1488,amazon,2020-11-27,3211.26001,3216.189941,3190.050049,3195.340088,21589.849,18845.337,6.7,0.09
1489,amazon,2020-11-30,3208.47998,3228.389893,3125.550049,3168.040039,21589.849,18845.337,6.7,0.09
1490,amazon,2020-12-01,3188.5,3248.949951,3157.179932,3220.080078,21715.363,18862.114,6.7,0.09
1491,amazon,2020-12-02,3221.649902,3232.0,3173.26001,3203.530029,21715.363,18862.114,6.7,0.09
1492,amazon,2020-12-03,3205.459961,3228.639893,3181.310059,3186.72998,21715.363,18862.114,6.7,0.09
1493,amazon,2020-12-04,3198.209961,3198.209961,3158.76001,3162.580078,21715.363,18862.114,6.7,0.09
1494,amazon,2020-12-07,3156.47998,3180.76001,3141.689941,3158.0,21715.363,18862.114,6.7,0.09
1495,amazon,2020-12-08,3158.899902,3184.129883,3120.02002,3177.290039,21715.363,18862.114,6.7,0.09
1496,amazon,2020-12-09,3167.889893,3174.429932,3088.0,3104.199951,21715.363,18862.114,6.7,0.09
1497,amazon,2020-12-10,3088.98999,3142.100098,3076.0,3101.48999,21715.363,18862.114,6.7,0.09
1498,amazon,2020-12-11,3096.659912,3118.669922,3072.820068,3116.419922,21715.363,18862.114,6.7,0.09
1499,amazon,2020-12-14,3143.0,3190.469971,3126.0,3156.969971,21715.363,18862.114,6.7,0.09
1500,amazon,2020-12-15,3181.01001,3188.5,3130.48999,3165.120117,21715.363,18862.114,6.7,0.09
1501,amazon,2020-12-16,3176.01001,3247.0,3163.679932,3240.959961,21715.363,18862.114,6.7,0.09
1502,amazon,2020-12-17,3250.0,3263.51001,3221.0,3236.080078,21715.363,18862.114,6.7,0.09
1503,amazon,2020-12-18,3243.98999,3249.419922,3171.600098,3201.649902,21715.363,18862.114,6.7,0.09
1504,amazon,2020-12-21,3200.01001,3226.969971,3166.0,3206.179932,21715.363,18862.114,6.7,0.09
1505,amazon,2020-12-22,3202.840088,3222.0,3180.080078,3206.52002,21715.363,18862.114,6.7,0.09
1506,amazon,2020-12-23,3205.0,3210.129883,3184.169922,3185.27002,21715.363,18862.114,6.7,0.09
1507,amazon,2020-12-24,3193.899902,3202.0,3169.0,3172.689941,21715.363,18862.114,6.7,0.09
1508,amazon,2020-12-28,3194.0,3304.0,3172.689941,3283.959961,21715.363,18862.114,6.7,0.09
1509,amazon,2020-12-29,3309.939941,3350.649902,3281.219971,3322.0,21715.363,18862.114,6.7,0.09
1510,amazon,2020-12-30,3341.0,3342.100098,3282.469971,3285.850098,21715.363,18862.114,6.7,0.09
1511,amazon,2020-12-31,3275.0,3282.919922,3241.199951,3256.929932,21715.363,18862.114,6.7,0.09
1512,amazon,2021-01-04,3270.0,3272.0,3144.02002,3186.629883,22220.592,19223.782,6.3,0.09
1513,amazon,2021-01-05,3166.01001,3223.379883,3165.060059,3218.51001,22220.592,19223.782,6.3,0.09
1514,amazon,2021-01-06,3146.47998,3197.51001,3131.159912,3138.379883,22220.592,19223.782,6.3,0.09
1515,amazon,2021-01-07,3157.0,3208.540039,3155.0,3162.159912,22220.592,19223.782,6.3,0.09
1516,amazon,2021-01-08,3180.0,3190.639893,3142.199951,3182.699951,22220.592,19223.782,6.3,0.09
1517,amazon,2021-01-11,3148.01001,3156.379883,3110.0,3114.209961,22220.592,19223.782,6.3,0.09
1518,amazon,2021-01-12,3120.0,3142.139893,3086.0,3120.830078,22220.592,19223.782,6.3,0.09
1519,amazon,2021-01-13,3128.439941,3189.949951,3122.080078,3165.889893,22220.592,19223.782,6.3,0.09
1520,amazon,2021-01-14,3167.52002,3178.0,3120.590088,3127.469971,22220.592,19223.782,6.3,0.09
1521,amazon,2021-01-15,3123.02002,3142.550049,3095.169922,3104.25,22220.592,19223.782,6.3,0.09
1522,amazon,2021-01-19,3107.0,3145.0,3096.0,3120.76001,22220.592,19223.782,6.3,0.09
1523,amazon,2021-01-20,3181.98999,3279.800049,3175.0,3263.379883,22220.592,19223.782,6.3,0.09
1524,amazon,2021-01-21,3293.0,3348.550049,3289.570068,3306.98999,22220.592,19223.782,6.3,0.09
